[-0.168743, -0.148743] ; [0.86458, 0.88458] ; [1.29127, 1.31127]
[-0.165589, -0.145589] ; [0.863475, 0.883475] ; [1.28992, 1.30992]
[-0.163977, -0.143977] ; [0.862917, 0.882917] ; [1.28923, 1.30923]
[-0.162384, -0.142384] ; [0.862356, 0.882356] ; [1.28857, 1.30857]
[-0.160763, -0.140763] ; [0.861832, 0.881832] ; [1.28791, 1.30791]
[-0.159164, -0.139164] ; [0.861259, 0.881259] ; [1.28725, 1.30725]
[-0.15751, -0.13751] ; [0.860693, 0.880693] ; [1.28659, 1.30659]
[-0.155907, -0.135907] ; [0.86014, 0.88014] ; [1.28594, 1.30594]
[-0.154234, -0.134234] ; [0.859574, 0.879574] ; [1.28528, 1.30528]
[-0.152586, -0.132586] ; [0.859028, 0.879028] ; [1.28465, 1.30465]
[-0.150929, -0.130929] ; [0.858465, 0.878465] ; [1.28401, 1.30401]
[-0.149245, -0.129245] ; [0.857903, 0.877903] ; [1.28339, 1.30339]
[-0.147584, -0.127584] ; [0.857343, 0.877343] ; [1.28276, 1.30276]
[-0.145843, -0.125843] ; [0.856672, 0.876672] ; [1.28203, 1.30203]
[-0.14421, -0.12421] ; [0.856218, 0.876218] ; [1.28144, 1.30144]
[-0.142527, -0.122527] ; [0.855636, 0.875636] ; [1.2808, 1.3008]
[-0.140826, -0.120826] ; [0.854954, 0.874954] ; [1.28009, 1.30009]
[-0.139154, -0.119154] ; [0.854448, 0.874448] ; [1.27949, 1.29949]
[-0.137454, -0.117454] ; [0.853843, 0.873843] ; [1.27881, 1.29881]
[-0.135719, -0.115719] ; [0.85323, 0.87323] ; [1.27815, 1.29815]
[-0.132254, -0.112254] ; [0.85196, 0.87196] ; [1.2768, 1.2968]
[-0.130467, -0.110467] ; [0.851285, 0.871285] ; [1.27608, 1.29608]
[-0.128757, -0.108757] ; [0.850733, 0.870733] ; [1.27547, 1.29547]
[-0.127033, -0.107033] ; [0.850048, 0.870048] ; [1.27478, 1.29478]
[-0.125276, -0.105276] ; [0.849387, 0.869387] ; [1.27413, 1.29413]
[-0.123461, -0.103461] ; [0.848628, 0.868628] ; [1.27341, 1.29341]
[-0.121794, -0.101794] ; [0.848128, 0.868128] ; [1.27282, 1.29282]
[-0.120038, -0.100038] ; [0.847498, 0.867498] ; [1.27213, 1.29213]
[-0.118179, -0.098179] ; [0.84673, 0.86673] ; [1.27137, 1.29137]
[-0.116437, -0.096437] ; [0.846261, 0.866261] ; [1.27077, 1.29077]
[-0.114694, -0.094694] ; [0.845595, 0.865595] ; [1.27012, 1.29012]
[-0.112916, -0.092916] ; [0.844901, 0.864901] ; [1.26942, 1.28942]
[-0.111169, -0.091169] ; [0.844232, 0.864232] ; [1.26871, 1.28871]
[-0.109382, -0.0893822] ; [0.843582, 0.863582] ; [1.26802, 1.28802]
[-0.107614, -0.087614] ; [0.84287, 0.86287] ; [1.26733, 1.28733]
[-0.105839, -0.0858391] ; [0.842202, 0.862202] ; [1.26665, 1.28665]
[-0.104077, -0.084077] ; [0.841526, 0.861526] ; [1.26593, 1.28593]
[-0.102296, -0.0822958] ; [0.840839, 0.860839] ; [1.26522, 1.28522]
[-0.0987382, -0.0787382] ; [0.83948, 0.85948] ; [1.26384, 1.28384]
[-0.0969678, -0.0769678] ; [0.838742, 0.858742] ; [1.26314, 1.28314]
[-0.0951922, -0.0751922] ; [0.838036, 0.858036] ; [1.26244, 1.28244]
[-0.0934506, -0.0734506] ; [0.837325, 0.857325] ; [1.26172, 1.28172]
[-0.0916815, -0.0716815] ; [0.836621, 0.856621] ; [1.26104, 1.28104]
