[0.0940896, 0.29409] ; [0.702437, 0.902437] ; [1.16781, 1.36781]
[0.0960535, 0.296054] ; [0.701809, 0.901809] ; [1.16718, 1.36718]
[0.0979834, 0.297983] ; [0.701175, 0.901175] ; [1.16653, 1.36653]
[0.0998442, 0.299844] ; [0.700546, 0.900546] ; [1.1659, 1.3659]
[0.101647, 0.301647] ; [0.699919, 0.899919] ; [1.16526, 1.36526]
[0.103401, 0.303401] ; [0.69929, 0.89929] ; [1.16462, 1.36462]
[0.105082, 0.305082] ; [0.698668, 0.898668] ; [1.164, 1.364]
[0.106727, 0.306727] ; [0.698041, 0.898041] ; [1.16337, 1.36337]
[0.108318, 0.308318] ; [0.697413, 0.897413] ; [1.16274, 1.36274]
[0.109848, 0.309848] ; [0.696791, 0.896791] ; [1.16211, 1.36211]
[0.111315, 0.311315] ; [0.696173, 0.896173] ; [1.16149, 1.36149]
[0.112748, 0.312748] ; [0.695547, 0.895547] ; [1.16086, 1.36086]
[0.114117, 0.314117] ; [0.694928, 0.894928] ; [1.16025, 1.36025]
[0.115432, 0.315432] ; [0.69431, 0.89431] ; [1.15963, 1.35963]
[0.116692, 0.316692] ; [0.693693, 0.893693] ; [1.15901, 1.35901]
[0.117907, 0.317907] ; [0.693075, 0.893075] ; [1.1584, 1.3584]
[0.119051, 0.319051] ; [0.692468, 0.892468] ; [1.15779, 1.35779]
[0.120162, 0.320162] ; [0.691852, 0.891852] ; [1.15718, 1.35718]
[0.12127, 0.32127] ; [0.691209, 0.891209] ; [1.15654, 1.35654]
[0.122173, 0.322173] ; [0.690632, 0.890632] ; [1.15597, 1.35597]
[0.123069, 0.323069] ; [0.690028, 0.890028] ; [1.15537, 1.35537]
[0.123918, 0.323918] ; [0.689424, 0.889424] ; [1.15478, 1.35478]
[0.124711, 0.324711] ; [0.688826, 0.888826] ; [1.15418, 1.35418]
[0.125467, 0.325467] ; [0.688219, 0.888219] ; [1.15358, 1.35358]
[0.126161, 0.326161] ; [0.687625, 0.887625] ; [1.153, 1.353]
[0.12681, 0.32681] ; [0.687029, 0.887029] ; [1.15241, 1.35241]
[0.127414, 0.327414] ; [0.686432, 0.886432] ; [1.15182, 1.35182]
[0.127964, 0.327964] ; [0.685841, 0.885841] ; [1.15124, 1.35124]
[0.128469, 0.328469] ; [0.685249, 0.885249] ; [1.15066, 1.35066]
[0.128928, 0.328928] ; [0.684656, 0.884656] ; [1.15007, 1.35007]
[0.129335, 0.329335] ; [0.684073, 0.884073] ; [1.1495, 1.3495]
[0.129701, 0.329701] ; [0.683484, 0.883484] ; [1.14892, 1.34892]
[0.130019, 0.330019] ; [0.682902, 0.882902] ; [1.14835, 1.34835]
[0.13029, 0.33029] ; [0.682323, 0.882323] ; [1.14778, 1.34778]
[0.130515, 0.330515] ; [0.681743, 0.881743] ; [1.14721, 1.34721]
[0.130699, 0.330699] ; [0.68115, 0.88115] ; [1.14663, 1.34663]
[0.130831, 0.330831] ; [0.680593, 0.880593] ; [1.14608, 1.34608]
[0.130925, 0.330925] ; [0.680022, 0.880022] ; [1.14552, 1.34552]
